path,type,prime
"prolog_fork_queue.pl",prolog,71
"prolog_orbits_self_label.pl",prolog,71
"prolog_rustc_bridge.pl",prolog,71
"prolog_to_rust.pl",prolog,71
"prolog_unification_plan.pl",prolog,71
"prove_congruence.pl",prolog,71
"prove_elf_complexity_23.pl",prolog,71
"prove_lattice_complexity.pl",prolog,71
"pump_token_tracker.pl",prolog,71
"real_measurements.pl",prolog,71
"reason_lists_of_lists.pl",prolog,71
"reconstruct_compcert.pl",prolog,71
"register_analysis.pl",prolog,71
"register_instruction_profiler.pl",prolog,71
"safe_oracle_injection.pl",prolog,71
"scheme_c_convergence.pl",prolog,71
"search_fuzzing_code.pl",prolog,71
"self_aware_prolog.pl",prolog,71
"self_eigenvector.pl",prolog,71
"self_hosting_prolog_tower.pl",prolog,71
"self_introspect_homotopy.pl",prolog,71
"self_reading_prolog.pl",prolog,71
"self_replicating_seed.pl",prolog,71
"self_tracing_fixed_point.pl",prolog,71
"self_translate_prove.pl",prolog,71
"shard_into_71.pl",prolog,71
"solana_predictor.pl",prolog,71
"solana_v10.pl",prolog,71
"solana_v12.pl",prolog,71
"solana_v13.pl",prolog,71
"solana_v14.pl",prolog,71
"solana_v15.pl",prolog,71
"solana_v16.pl",prolog,71
"solana_v19.pl",prolog,71
"solana_v21.pl",prolog,71
"solana_v22.pl",prolog,71
"solana_v23.pl",prolog,71
"solana_v25.pl",prolog,71
"solana_v27.pl",prolog,71
"solana_v28.pl",prolog,71
"solana_v29.pl",prolog,71
"solana_v2.pl",prolog,71
"solana_v30.pl",prolog,71
"solana_v31.pl",prolog,71
"solana_v32.pl",prolog,71
"solana_v34.pl",prolog,71
"solana_v35.pl",prolog,71
"solana_v36.pl",prolog,71
"solana_v3.pl",prolog,71
"solana_v4.pl",prolog,71
"solana_v5.pl",prolog,71
"solana_v6.pl",prolog,71
"solana_v7.pl",prolog,71
"solana_v8.pl",prolog,71
"solana_v9.pl",prolog,71
"strange_loop.pl",prolog,71
"syntax_lattice.pl",prolog,71
"test_all_primes.pl",prolog,71
"test_compiler_equivalence.pl",prolog,71
"test_variations.pl",prolog,71
"thermodynamic_proof.pl",prolog,71
"trisimulation.pl",prolog,71
"universal_compiler.pl",prolog,71
"universal_convergence.pl",prolog,71
"universal_coq_consumer.pl",prolog,71
"universal_port.pl",prolog,71
"universal_syntax_inference.pl",prolog,71
"update_metacoq_repos.pl",prolog,71
"visualize_harmonics.pl",prolog,71
"ziggurat_tower.pl",prolog,71
"zkml_seed.pl",prolog,71
"zkprologml_fork.pl",prolog,71
"zkprologml_metacoq_equiv.pl",prolog,71
"zkprologml.pl",prolog,71
"zk_witness_system.pl",prolog,71
"71_layers_proof.lean",lean4,61
"all_theorems.lean",lean4,61
"athena_lattice.lean",lean4,61
"bott_periodicity_proof.lean",lean4,61
"compcert_reconstruction.lean",lean4,61
"compiler_equivalence.lean",lean4,61
"complete_bott_proof.lean",lean4,61
"coq_proof_harmonics.lean",lean4,61
"c_syntax_harmonics.lean",lean4,61
"elf_complexity_23.lean",lean4,61
"gcc_tree_mapping.lean",lean4,61
"grand_unification.lean",lean4,61
"honest_proof.lean",lean4,61
"knuth_lean4_proofs.lean",lean4,61
"langlands_monster.lean",lean4,61
"lean_core_comprehension.lean",lean4,61
"lean_monster_scores.lean",lean4,61
"lifting_tower.lean",lean4,61
"lists_of_lists_model.lean",lean4,61
"lists_of_lists_producer_proof.lean",lean4,61
"lmfdb_monster_mathlib.lean",lean4,61
"lmfdb_monster_proof.lean",lean4,61
"mes_equivalence.lean",lean4,61
"metacoq_extraction.lean",lean4,61
"monster_complexity_proof.lean",lean4,61
"monster_genus_zero_induction.lean",lean4,61
"nine_muses.lean",lean4,61
"perf_trace_monotonic.lean",lean4,61
"prolog_in_lean4.lean",lean4,61
"scheme_c_convergence.lean",lean4,61
"search_proof.lean",lean4,61
"system_lmfdb_isomorphism.lean",lean4,61
"theorem_21.lean",lean4,61
"theorem_42.lean",lean4,61
"trisimulation.lean",lean4,61
"universal_compiler.lean",lean4,61
"universal_convergence.lean",lean4,61
"ziggurat_tower.lean",lean4,61
"zkprologml_metacoq_equiv.lean",lean4,61
"24_hour_system.nix",nix,23
"fifth_generation.nix",nix,23
"trisimulation.nix",nix,23
"zkml_seed.nix",nix,23
"monitor_llm_activation.sh",shell,31
"run_llm_activation_bg.sh",shell,31
"calculate_heat.py",python,67
"correlate_complexity_heat.py",python,67
"export_llm_traces_parquet.py",python,67
"measure_closed_loop_heat.py",python,67
